Linux 6.17.0-20-generic (ubuntu) 	21.04.2026 	_x86_64_	(4 CPU)

09:09:49        CPU     %user     %nice   %system   %iowait    %steal     %idle
09:24:09        all      0,15      0,00      0,51      0,05      0,00     99,29
09:24:19        all      0,18      0,00      0,33      0,03      0,00     99,47
09:24:29        all      0,18      0,00      0,43      0,05      0,00     99,34
09:24:39        all      0,13      0,00      0,43      0,03      0,00     99,41
09:24:49        all      0,18      0,00      0,28      0,05      0,00     99,49
09:24:59        all      0,15      0,00      0,41      0,05      0,00     99,39
09:25:09        all      0,08      0,00      0,41      0,08      0,00     99,44
09:25:19        all      0,08      0,00      0,33      0,03      0,00     99,57
09:25:29        all      0,08      0,00      0,38      0,00      0,00     99,54
09:25:39        all      0,15      0,00      0,43      0,08      0,00     99,34
09:25:49        all      0,13      0,00      0,31      0,05      0,00     99,52
09:25:59        all      0,13      0,00      0,36      0,00      0,00     99,52
09:26:09        all      0,13      0,00      0,36      0,03      0,00     99,49
09:26:19        all      0,18      0,00      0,43      0,08      0,00     99,31
09:26:29        all      0,15      0,00      0,41      0,05      0,00     99,39
09:26:39        all      0,15      0,00      0,38      0,08      0,00     99,39
09:26:49        all      0,08      0,00      0,38      0,00      0,00     99,54
09:26:59        all      0,08      0,00      0,33      0,05      0,00     99,54
09:27:09        all      0,10      0,00      0,36      0,05      0,00     99,49
09:27:19        all      0,08      0,00      0,38      0,03      0,00     99,52
09:27:29        all      0,08      0,00      0,38      0,03      0,00     99,52
09:27:39        all      0,10      0,00      0,38      0,00      0,00     99,52
09:27:49        all      0,13      0,00      0,36      0,08      0,00     99,44
09:27:59        all      0,08      0,00      0,33      0,03      0,00     99,57
09:28:09        all      0,08      0,00      0,38      0,03      0,00     99,52
09:28:19        all      0,10      0,00      0,41      0,05      0,00     99,44
09:28:29        all      0,08      0,00      0,31      0,03      0,00     99,59
09:28:39        all      0,13      0,00      0,23      0,08      0,00     99,57
09:28:49        all      0,08      0,00      0,33      0,03      0,00     99,57
09:28:59        all      0,08      0,00      0,43      0,03      0,00     99,47
09:29:09        all      0,08      0,00      0,38      0,05      0,00     99,49
09:29:19        all      0,08      0,00      0,43      0,03      0,00     99,46
09:29:29        all      0,13      0,00      0,36      0,05      0,00     99,47
09:29:39        all      0,08      0,00      0,41      0,03      0,00     99,49
09:29:49        all      0,10      0,00      0,33      0,05      0,00     99,52
09:29:59        all      0,10      0,00      0,38      0,08      0,00     99,44
09:30:09        all      0,18      0,00      0,48      0,08      0,00     99,26
09:30:19        all      0,18      0,00      0,28      0,10      0,00     99,44
09:30:29        all      0,15      0,00      0,41      0,00      0,00     99,44
09:30:39        all      0,08      0,00      0,46      0,10      0,00     99,36
09:30:49        all      0,10      0,00      0,41      0,05      0,00     99,44
09:30:59        all      0,13      0,00      0,31      0,00      0,00     99,57
09:31:09        all      0,08      0,00      0,38      0,03      0,00     99,52
09:31:19        all      0,08      0,00      0,38      0,00      0,00     99,54
09:31:29        all      0,13      0,00      0,38      0,03      0,00     99,47
09:31:39        all      0,10      0,00      0,38      0,13      0,00     99,39
09:31:49        all      0,13      0,00      0,36      0,05      0,00     99,47
09:31:59        all      0,08      0,00      0,38      0,05      0,00     99,49
09:32:09        all      0,13      0,00      0,28      0,03      0,00     99,57
09:32:19        all      0,13      0,00      0,38      0,08      0,00     99,42
09:32:29        all      0,08      0,00      0,25      0,08      0,00     99,59
09:32:39        all      0,08      0,00      0,36      0,05      0,00     99,52
09:32:49        all      0,10      0,00      0,36      0,03      0,00     99,52
09:32:59        all      0,10      0,00      0,33      0,08      0,00     99,49
09:33:09        all      0,10      0,00      0,41      0,03      0,00     99,47
09:33:19        all      0,10      0,00      0,38      0,10      0,00     99,41
09:33:29        all      0,10      0,00      0,41      0,03      0,00     99,47
09:33:39        all      0,05      0,00      0,33      0,05      0,00     99,57
09:33:49        all      0,13      0,00      0,43      0,05      0,00     99,39
09:33:59        all      0,05      0,00      0,31      0,00      0,00     99,64
09:34:09        all      0,10      0,00      0,43      0,03      0,00     99,44
09:34:19        all      0,08      0,00      0,31      0,03      0,00     99,59
09:34:29        all      0,10      0,00      0,46      0,03      0,00     99,41
09:34:39        all      0,10      0,00      0,38      0,08      0,00     99,44
09:34:49        all      0,10      0,00      0,36      0,03      0,00     99,52
09:34:59        all      0,13      0,00      0,33      0,05      0,00     99,49
09:35:09        all      0,15      0,00      0,43      0,05      0,00     99,36
09:35:19        all      0,13      0,00      0,41      0,00      0,00     99,47
09:35:29        all      0,15      0,00      0,41      0,05      0,00     99,39
09:35:39        all      0,15      0,00      0,38      0,10      0,00     99,36
09:35:49        all      0,13      0,00      0,43      0,03      0,00     99,41
09:35:59        all      0,15      0,00      0,41      0,03      0,00     99,41
09:36:09        all      0,15      0,00      0,41      0,05      0,00     99,39
09:36:19        all      0,18      0,00      0,46      0,00      0,00     99,36
09:36:29        all      0,15      0,00      0,36      0,03      0,00     99,47
09:36:39        all      0,15      0,00      0,41      0,08      0,00     99,36
09:36:49        all      0,15      0,00      0,33      0,03      0,00     99,49
09:36:59        all      0,18      0,00      0,41      0,03      0,00     99,39
09:37:09        all      0,10      0,00      0,43      0,03      0,00     99,44
09:37:19        all      0,05      0,00      0,38      0,05      0,00     99,52
