Linux 6.17.0-20-generic (ubuntu) 	21.04.2026 	_x86_64_	(4 CPU)

09:09:49        CPU     %user     %nice   %system   %iowait    %steal     %idle
09:12:39          2      0,00      0,00      0,10      0,10      0,00     99,80
09:12:39          3      0,00      0,00      0,00      0,00      0,00    100,00
09:12:49        all      0,05      0,00      0,38      0,05      0,00     99,52
09:12:49          0      0,00      0,00      0,00      0,00      0,00    100,00
09:12:49          1      0,21      0,00      1,50      0,00      0,00     98,29
09:12:49          2      0,00      0,00      0,10      0,20      0,00     99,70
09:12:49          3      0,00      0,00      0,00      0,00      0,00    100,00
09:12:59        all      0,10      0,00      0,43      0,03      0,00     99,44
09:12:59          0      0,00      0,00      0,00      0,00      0,00    100,00
09:12:59          1      0,43      0,00      1,81      0,00      0,00     97,76
09:12:59          2      0,00      0,00      0,00      0,10      0,00     99,90
09:12:59          3      0,00      0,00      0,00      0,00      0,00    100,00
09:13:09        all      0,08      0,00      0,36      0,05      0,00     99,52
09:13:09          0      0,00      0,00      0,00      0,00      0,00    100,00
09:13:09          1      0,32      0,00      1,28      0,00      0,00     98,40
09:13:09          2      0,00      0,00      0,00      0,10      0,00     99,90
09:13:09          3      0,00      0,00      0,20      0,10      0,00     99,70
09:13:19        all      0,13      0,00      0,41      0,08      0,00     99,39
09:13:19          0      0,00      0,00      0,00      0,00      0,00    100,00
09:13:19          1      0,43      0,00      1,49      0,00      0,00     98,08
09:13:19          2      0,00      0,00      0,10      0,30      0,00     99,60
09:13:19          3      0,10      0,00      0,10      0,00      0,00     99,80
09:13:29        all      0,08      0,00      0,43      0,03      0,00     99,47
09:13:29          0      0,00      0,00      0,10      0,00      0,00     99,90
09:13:29          1      0,32      0,00      1,60      0,00      0,00     98,07
09:13:29          2      0,00      0,00      0,10      0,10      0,00     99,80
09:13:29          3      0,00      0,00      0,00      0,00      0,00    100,00

09:13:29        CPU     %user     %nice   %system   %iowait    %steal     %idle
09:13:39        all      0,10      0,00      0,28      0,05      0,00     99,57
09:13:39          0      0,10      0,00      0,00      0,00      0,00     99,90
09:13:39          1      0,32      0,00      1,17      0,00      0,00     98,51
09:13:39          2      0,00      0,00      0,00      0,10      0,00     99,90
09:13:39          3      0,00      0,00      0,00      0,10      0,00     99,90
09:13:49        all      0,08      0,00      0,41      0,03      0,00     99,49
09:13:49          0      0,00      0,00      0,00      0,00      0,00    100,00
09:13:49          1      0,32      0,00      1,60      0,00      0,00     98,08
