Linux 6.17.0-20-generic (ubuntu) 	21.04.2026 	_x86_64_	(4 CPU)

09:09:49      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
09:09:59            0       636      0,00      0,01      0,00         0
09:10:09            0       631      0,00      0,00      0,00         0
09:10:19            1       631      0,00      0,00      0,00         0
09:10:29            0       631      0,00      0,00      0,00         0
09:10:39            2       632      0,00      0,00      0,00         0
09:10:49            0       632      0,00      0,00      0,00         0
09:10:59            0       632      0,00      0,00      0,00         0
09:11:09            0       632      0,00      0,00      0,00         0
09:11:19            1       632      0,00      0,00      0,00         0
09:11:29            0       632      0,00      0,00      0,00         0
09:11:39            0       632      0,00      0,00      0,00         0
09:11:49            0       632      0,00      0,00      0,00         0
09:11:59            0       632      0,00      0,00      0,00         0
09:12:09            0       632      0,15      0,03      0,01         0
09:12:19            0       632      0,13      0,03      0,01         0
09:12:29            0       632      0,11      0,03      0,01         0
09:12:39            0       632      0,09      0,03      0,01         0
09:12:49            0       632      0,08      0,03      0,01         0
09:12:59            0       631      0,06      0,03      0,01         0
09:13:09            0       631      0,13      0,04      0,01         0
09:13:19            0       631      0,11      0,04      0,01         0
09:13:29            0       631      0,09      0,04      0,01         0
09:13:39            0       631      0,08      0,04      0,01         0
09:13:49            0       630      0,06      0,03      0,01         0
09:13:59            0       630      0,05      0,03      0,01         0
09:14:09            0       630      0,05      0,03      0,00         0
09:14:19            0       630      0,04      0,03      0,00         0
09:14:29            0       630      0,03      0,03      0,00         0
09:14:39            0       630      0,10      0,04      0,01         0
09:14:49            0       631      0,08      0,04      0,01         0
09:14:59            0       630      0,07      0,04      0,01         0
09:15:09            0       629      0,06      0,04      0,00         0
09:15:19            0       629      0,05      0,04      0,00         0
09:15:29            0       629      0,04      0,03      0,00         0
09:15:39            0       627      0,04      0,03      0,00         0
09:15:49            0       627      0,03      0,03      0,00         0
09:15:59            0       627      0,02      0,03      0,00         0
09:16:09            0       627      0,02      0,03      0,00         0
09:16:19            0       627      0,02      0,03      0,00         0
09:16:29            0       627      0,01      0,03      0,00         0
09:16:39            0       627      0,01      0,02      0,00         0
09:16:49            0       627      0,01      0,02      0,00         0
09:16:59            0       627      0,01      0,02      0,00         0
09:17:09            0       627      0,01      0,02      0,00         0
09:17:19            0       627      0,00      0,02      0,00         0
09:17:29            0       627      0,00      0,02      0,00         0
09:17:39            0       627      0,00      0,02      0,00         0
09:17:49            0       627      0,00      0,02      0,00         0
09:17:59            0       627      0,00      0,02      0,00         0
09:18:09            0       628      0,00      0,02      0,00         0
09:18:19            1       628      0,00      0,01      0,00         0
09:18:29            0       628      0,00      0,01      0,00         0
09:18:39            0       628      0,00      0,01      0,00         0
