Linux 6.17.0-20-generic (ubuntu) 	21.04.2026 	_x86_64_	(4 CPU)

09:09:49     pgpgin/s pgpgout/s   fault/s  majflt/s  pgfree/s pgscank/s pgscand/s pgsteal/s    %vmeff
09:09:59        14,00     13,60    103,60      0,00     54,90      0,00      0,00      0,00      0,00
09:10:09         0,00     10,40    129,60      0,00     98,40      0,00      0,00      0,00      0,00
09:10:19         0,00      3,20      0,00      0,00     14,40      0,00      0,00      0,00      0,00
09:10:29         0,00     30,77      0,00      0,00     11,59      0,00      0,00      0,00      0,00
09:10:39         0,00      3,60      0,90      0,00     14,20      0,00      0,00      0,00      0,00
09:10:49         0,00      4,40      0,50      0,00     11,50      0,00      0,00      0,00      0,00
09:10:59         0,00      1,60      0,00      0,00     11,50      0,00      0,00      0,00      0,00
09:11:09         0,00      8,40      1,80      0,00     12,60      0,00      0,00      0,00      0,00
09:11:19         0,00      5,60      0,20      0,00     12,50      0,00      0,00      0,00      0,00
09:11:29         0,00      2,40      0,00      0,00     13,00      0,00      0,00      0,00      0,00
09:11:39         0,00      1,60      0,20      0,00     12,30      0,00      0,00      0,00      0,00
09:11:49         0,00      8,40      0,00      0,00     12,00      0,00      0,00      0,00      0,00
09:11:59         0,00      6,40      0,10      0,00     11,80      0,00      0,00      0,00      0,00
09:12:09         0,00      2,40      1,00      0,00     12,60      0,00      0,00      0,00      0,00
09:12:19         0,00      4,40      0,20      0,00     15,40      0,00      0,00      0,00      0,00
09:12:29         0,00      8,00      0,00      0,00     12,00      0,00      0,00      0,00      0,00
09:12:39         0,00      6,00      0,20      0,00     12,00      0,00      0,00      0,00      0,00
09:12:49         0,00      3,60      0,00      0,00     11,80      0,00      0,00      0,00      0,00
09:12:59         0,00      1,60      0,00      0,00     12,20      0,00      0,00      0,00      0,00
09:13:09         0,00     11,20      1,60      0,00     12,50      0,00      0,00      0,00      0,00
09:13:19         0,00      6,80      0,10      0,00     17,00      0,00      0,00      0,00      0,00
09:13:29         0,00      1,60      0,00      0,00     13,70      0,00      0,00      0,00      0,00
09:13:39         0,00      5,59      0,00      0,00     12,19      0,00      0,00      0,00      0,00
09:13:49         0,00      7,20      0,00      0,00     12,30      0,00      0,00      0,00      0,00
09:13:59         0,00      4,80      0,00      0,00     11,90      0,00      0,00      0,00      0,00
